,Unnamed: 0,content
13,13,　　将于2月26日举行的海南三亚国际马拉松，1月5日正式发起报名。与目前不少赛事着力提升外国特邀选手的数量和水平不同，海南马拉松正在努力降低特邀选手的名额，“我们会在适当的时候不再设特邀运动员。”海南省文化广电出版体育厅副厅长杨毅光说，“国际田联在评定金标、银标等赛事等级时，对于赛事的选手完赛率、成绩等指标有明确要求，因此有意参评金标的赛事还应邀请特邀运动员。但对年轻的海南马拉松来说，还是要脚踏实地，首先争取更多业余跑友来参加，一步步把工作做好。”
14,14,　　不可否认的是，目前国内的马拉松赛事，无论从办赛还是参赛的角度来说都有许多需要提高的地方，乱扔垃圾、随处便溺、替跑、猝死等问题与现象仍不时出现于一些赛事之中。
15,15,　　王大卫认为，实际上办赛方都希望把赛事办好，为跑者提供更周到细致的服务，但在经验上还有一些缺乏。
16,16,"　　,中新网,北京1月2日电 2017年新年伊始第一天，2016Tennis123网球分级赛年终总决赛在国家网球中心打响。单打5.0级至2.5级和双打9.0级至6.0级等从高到低17个级别的年终排名前8名、合计192位选手，向着各自级别的年终总冠军发起冲击，并决出了最终的胜利者。"
17,17,　　Tennis123网球分级赛创办于2004年，从2011年开始，每年举办一次年终总决赛，参赛资格限于每个级别的年终排名前8选手，至今已成功举办了5届。
18,18,　　借鉴美国现行网球分级标准USTA模式，经过本土化改良，Tennis123分级赛形成了以选手能力和战绩为依据的等级标准。不论年龄、性别、身份，根据实力划分档次，让水平更接近、比赛更激烈，把胜负悬念保留到比赛最后一刻，使得选手都有机会实现“总有一个冠军属于你”。
19,19,　　Tennis123创始人汪俊对记者详细解释了这一分级赛制：5.0级代表了业余顶尖、专业退役及全国大学生冠军和全国16岁14岁全国冠军水平，4.5和4.0级属于业余好手，3.5级是业余中级水平、是每一位爱好者通过努力都能达到的级别，3.0和2.5级是业余初级选手。目前双打最高级为9.0，即为两位4.5级以上选手组合，最基本级为6.0级双打、是两位平均3.0级选手组合。
20,20,　　相比去年元旦12个级别总决赛，今年赛事升级达到17个级别。总决赛除了青少年分级赛比去年多了2.5和4.0外，还增加了女双7.0、混双7.0和6.0，总决赛人数比去年的128人多出了64人。Tennis123分级赛在2016年共成功举办了826站赛事，比去年正好多一倍，历史总计达到3825站各级比赛，榜上有名的各级选手超过12000人。
21,21,　　随着Tennis123分级赛平台的日趋成熟，有越来越多的爱好者被吸引，并通过这样水平接近的同级赛得到了实际有效的快速提升，从而更有兴趣越来越多的参赛，同时使得更多场馆积极加盟123分级赛，迅速提高场馆的使用率。接下来，2017年Tennis123计划把分级赛推广到全国30个城市，让各地广大网球爱好者通过标准的123分级赛实战来突破瓶颈提高水平。
22,22,　　经过一整天的激烈角逐，各级别冠军尘埃落定，最重量级的5.0级别冠军被柳润泽收入囊中、并获得6000元奖金，陈勃宇获亚军。同时，获得2.5级冠亚军的是出界和天使，3.0冠亚军是关法830和swinter07，3.5冠亚军是li和chhzjl，4.0冠亚军是sense中的Alan和陈天鸿，4.5冠亚军是刘凤荷和肖晨昕。
23,23,　　双打方面，9.0双打冠亚军是李铮/吕阳和陈鑫/发哥，8.0双打冠亚军是hongdage688/老门和刘欣刚/海荣，7.0双打冠亚军是城市和尚/stonewang和心依旧/eluo3515，7.0混双冠亚军是丁冬/王欣和席城/陈芸，7.0女双冠亚军是法拉力/小浣熊和丽娜/牧人吉雅，6.0双打冠亚军是眷恋/正大光明和mario1110/uibejojo，6.0混双冠亚军是小许/米米米和陈秋芳/陈晓晖。
24,24,　　此外，青少年2.5冠亚军是秦西和陈琳，青少年3.0冠亚军是卓重佑和白文博，青少年3.5冠亚军是钟健伦和张清扬，青少年4.0冠亚军是白若实和孙嘉名。(完)
25,25,　　美女主播直播电竞游戏、直播美妆变脸……这些或许你都习以为常，但美女主播要直播斗地主，你见识过吗？就在上周末，人气主播“可涵lyn”就透露她本人已成功报名参与2016网络智力运动会(下称“网智会”)二打一城市巡回赛成都站赛事，1月8日，“可涵lyn”前往现场参赛并开启个人直播，一场好戏上演。
26,26,　　作为一项传统的中国民间趣味棋牌运动，“斗地主”可谓家喻户晓、深受各年龄层人士喜爱，连美女主播也被吸引而来。在2016年12月30日的直播中，“可涵lyn”一改往日慢节奏画风，开启紧张“烧脑”模式，直播参战的同时还不忘为粉丝演示报名网智会二打一线下巡回赛的流程，引发上百万“斗迷”在线观看。
27,27,　　“可涵lyn”在直播中表示，之所以会选择报名参加网智会、并通过直播把赛事推荐给观众，是因为自己本来就喜爱“斗地主”这项运动，又经朋友推荐，对于网智会作为官方比赛能提供专业认证、奖励丰厚、参赛便捷十分动心，所以说什么也要召唤粉丝一起去成都站现场体验一把，一试身手。
28,28,　　2016网智会是由国家棋牌运动最高管理机构——国家体育总局棋牌运动管理中心(包括各国家单项棋牌项目协会)，携手中国互联网上网服务营业场所行业协会及咪咕文化科技有限公司共同主办的官方比赛。其中，二打一城市巡回赛自去年10月开赛至今已走过大连、厦门等9座城市，1月8日，成都市锦江区时光盒子网咖迎来本季城市巡回赛最后一站。
29,29,　　由于成都站也是网智会新年第一战，赛事组委为参赛选手及观众准备了多重惊喜：除了专属纪念品鎏金扑克、新年玩偶“如意鸡”以及价值5万元的奖励外，还为“斗迷”们献上一场由李军与孙立坤两位专业解说继续主持的直播，并通过咪咕直播、斗鱼直播、乐视体育、搜狐体育、优酷、土豆、虎牙等7家平台同步开启，力图为观众们带来最精彩的“收官之战”。加上美女主播“可涵lyn”的现场参与，本场赛事更具悬念与看点。
30,30,　　网智会二打一城市巡回赛收官在即，但喜欢斗地主却没来及参赛的玩家们不用气馁，因为网智会二打一线上海选赛仍在持续选拔中，“斗”迷们除了可以在家看美女主播及成都站赛事直播，还能登录咪咕斗地主等9大网络棋牌平台参与线上网络海选向总决赛发起进攻！百万大奖近在眼前，错过可要再等一年。
31,31,　　2016年12月29日晚，因为一位神奇的棋手在网络上的突然出现，国内外围棋界顿时变得喧嚣异常，一时间，围棋再一次成为人们谈论的焦点，甚至超过了8个月前AlphaGo的热度。
32,32,　　当晚，一个注册为“Master”、标注为韩国九段的“网络棋手”接连“闯入”两家著名网络网站——弈城网和野狐网，并且表现出超众的棋艺：先后在超快棋模式的比赛中，完胜了包括韩国第一人朴廷桓、中国名人战冠军连笑、世界冠军古力、日本名将井山裕太、2016年新科世界冠军唐韦星，以及范廷珏、芈昱廷、时越、朴永训、金志锡、姜东润等众多中日韩围棋高手。
33,33,　　1月2日晚上，古力在微博上写道：“小霸王辜梓豪、韩国朴永训、中国柁嘉熹也倒下了，现在日本第一人井山裕太登场。若还是不行，只有他了——柯洁。”
34,34,　　古力随后悬赏10万元寻找击败Master第一位棋手立刻引起网友争议，有棋迷就给古力等棋手支招：“Master已30余场连胜，你们不能尝试高手们组队跟它玩玩，看能否取胜吗？”还有网友直言短时间内棋手无法击败“Master”：“得研究一阵子吧，现在直接对局感觉困难。”
35,35,　　根据权威统计，在当今世界围棋排名中，中国棋手柯洁积分排名第一，也是榜单上唯一一名排在AlphaGo(阿尔法狗)之前的棋手。早在去年的“人机大战”中他就豪言：“只有我才能战胜阿尔法狗”。1月3日夜，柯洁终于出战，然而，比赛的结果并没有出乎棋迷们的预料：Master迫使有“当今围棋第一人”之称的柯洁中盘投子认负。
36,36,　　到了4日上午，Master在与陈耀烨的对决中终于止住了连胜的步伐，原因很简单：陈耀烨掉线了，那盘只下了几手的棋被系统判定为“和棋”，当天下午陈耀烨再度出战，让Master拿下第55场连胜。
37,37,　　当日下午，聂卫平坐不住了，于是，这样一场大部分人都看不懂输赢的比赛，在网上迅速吸引了一大批观众，同时多家门户网站还进行了直播。
38,38,　　结果还是没有意外，聂卫平输了。至此，Master依旧保持着全胜纪录，这也让越来越多的人相信：Master绝对不是人。
39,39,　　晚上，Master又连续战胜申真谞、常昊和周睿羊，将连胜延续到59场。
40,40,　　随后，这位神秘的Master终于公开了自己的身份：“我是AlphaGo的黄博士。”在去年3月举行的人机大战中，正是黄士杰为AlphaGo执棋落子的。事实上，此前在Master连续击败朴廷桓、柯洁等高手后，很多棋手和棋迷就猜测Master非“狗狗”莫属。毕竟，即使是20秒或30秒3步的超快棋，要想完成对这么多高手的全胜战绩，也绝非人力可为。而且，作为其团队成员之一的樊麾此前曾透露过，AlphaGo将在2017年复出。
41,41,　　就在围观的棋迷还在回味Master与世界顶尖棋手那一场场酣畅淋漓的对弈时，很多人却开始焦虑，毕竟，这一次，Master横扫几乎全部围棋高手的举动，远比AlphaGo单挑李世石要令人震惊。
42,42,　　“虽然也曾想过，但事实摆在面前时，还是令我等职业棋士汗颜。也许曾经我们认为永恒不变的围棋定式、真理，会因大师(Master)的出现，发生颠覆性的改变……好好睡了吧，去迎接美好的明天与未来！”中国棋手古力写道。
43,43,　　柯洁表现出少有的冷静和思索：“我从(去年)3月份开始到现在研究了大半年，无数次的理论、实践，就是想知道计算机究竟强在哪里。昨晚辗转反侧，不想竟一夜无眠。人类数千年的实战演练进化，计算机却告诉我们人类全都是错的。我觉得，甚至没有一个人沾到围棋真理的边。”
44,44,　　而棋圣聂卫平则在社交媒体表示：“Master改变了我们传统的厚薄理念，颠覆了多年的定式。看了40多盘Master和年轻高手们的对局，深感当年日本名誉棋圣藤泽秀行老师说的那句话‘棋道一百，我只知七’是何等深刻贴切！在看似不能出招的地方出招，而且最后证明它的选择都成立，都不是错的。”
45,45,　　和去年年初人机大战掀起围棋热潮一样，Master这次同样引发了无数关注，业内也普遍认为这对围棋的发展有益无害，唐韦星就在自己的微博上表示，围棋的魅力不会因此变小，也与人工智能多么强大无关。
46,46,　　新华社体育部主任、围棋爱好者许基仁则认为：“人类棋手战胜电脑围棋的时代一去不复返了。我一点都不觉得难过。如果说比赛跑步，人类还有可能胜过自行车，那么汽车出现后，再有人比试人和汽车谁跑得快，不是很愚蠢吗？机器狗狗一骑绝尘，不必追。”
47,47,　　当然，不仅下围棋的套路会被人工智能所改变，或许学习围棋的途径也将被颠覆。此外，人工智能在围棋方面的造诣还是我们通向更多未知世界的一个新入口。
48,48,　　去年3月，在AlphaGo战胜李世石后，AlphaGo之父哈萨比斯也曾在社交媒体上表示，AlphaGo只是Google登月计划的第一步，“除了Google的所有产品将会从哈萨比斯的研究中受益外，它或许将会开启人工智能的全新研究方向，帮助我们快速识别出哪些领域具有研究及发展的潜力，而人类的医疗、教育等等行业可能都会因此而受益。”这不仅仅是Google宏大的愿景，包括围棋界在内，大家应该思考这样的问题：如何利用人类发明的人工智能来帮助人类实现更多目标，“联手”创造更多的奇迹？如果这样想，被人工智能战胜并非坏事。
49,49,　　其实，无论未来会出现何种形式的“人机大战”，科技再一次展现了自己的强大，围棋这一古老的运动也再度展现了自己的魅力，正如聂卫平重复的藤泽秀行的那句话：“棋道一百，我只知七。”虽然这次表面上是Master横扫人类高手，但对任何一方来说，这场“七日之战”都意义非凡。(本报记者 王 东)
50,50,　　■ 社论
51,51,　　中国足球的职业化改革历程，就是个不断去行政化的过程。“管办分离”，是对足球运动管理的价值回归。
52,52,　　据国家事业单位登记管理局管辖事业单位申办事项办结通知显示，国家体育总局足球运动管理中心于2017年1月5日正式注销。这意味着，足协与国家体育总局脱钩，成为独立的社团法人。从机构形态和关系看，中国足球“管办分离”正式实现。
53,53,　　靴子终于落地！随着足球运动管理中心的注销，足球“管办分离”从精神层面进入实质层面。二十余年的足球职业化改革，虽步履维艰，终迈出坚实一步。
54,54,　　长期以来，中国足球之所以广受诟病，原因之一就是足协与足球管理中心“一套班子、两块牌子，管办不分、政企不分”的计划式管理模式。在这种管理模式下，足球管理领域行政化严重，不仅延伸出“假赌黑”等足球腐败，也因有违足球管理规律，直接影响了中国足球的整体水准。
55,55,　　而“管办分离”，剑指的正是足球管理领域的行政化积弊：根据《中国足球改革发展总体方案》，“管办分离”之后，足协在内部机构设置、工作计划制定、财务和薪酬管理、人事管理、国际专业交流等方面拥有自主权。换言之，管办分离之后的足协，将回归一个纯粹的民间自治组织角色，其对足球运动的管理更加自由与专业，不受行政掣肘，而这正是职业足球发展的题中应有之义。
56,56,　　西方足球强国的足球运动同样有统一的管理机构。但不论是英格兰足球总会，还是西班牙足球协会，它们只是负责设立国内比赛规条，管理、改革国家队、国内联赛、杯赛，独立于政府系统之外，不对行政部门负责，是完全自治的职业足球组织。
57,57,　　实际上，中国足球的职业化改革历程，就是个不断向国际同行学习、不断去行政化的过程。“管办分离”，是对足球运动管理的价值回归。
58,58,　　自从《中国足球改革发展总体方案》颁布以来，中国足球领域的改革也在出现越来越多变化。“管办分离”之外，中国足球职业联盟的筹备工作也于去年5月份开始运作，联盟将从资金支持、平台推介、球迷参与等方面为各级联赛的专业化、职业化、市场化发展提供支持，这对夯实中国职业足球的基础，也大有裨益。
59,59,　　当然，也要看到，中国足球毕竟积弊已久，实现彻底的职业化或许还需要一个逐渐适应的过程。“管办分离”虽已实现，但也需继续保持关切：足协享有自主权了，但在实际运作中，是否能够真正实现与行政力量的彻底切割？毕竟，《中国足协调整改革方案》中有这样一句：体育总局对中国足协给予必要的业务指导与监督管理。“业务指导”与“监督管理”在具体操作中，能否保持不逾矩，有待观察。
60,60,　　这种担忧并非空穴来风。就在最近，针对国内俱乐部“烧钱”严重、高价引入外援的现象，主管部门有关人士表示，要“调节、抑制高价引援，合理限制球员过高收入”，俱乐部一味烧钱引援的短视行为固然值得商榷，而作为行政机构的主管部门对职业联赛的自由转会市场的介入，也该审慎。
61,61,　　所以，管办分离固然迈出中国足球职业化改革的重要一步，但最终还是要看后续的具体落地。足协在接受上级部门监管的同时，如何与其保持合理的边界，或要时刻保持警惕。
62,62,　　当然，中国足球的进步，不是实现“管办分离”就可以一劳永逸的。于主管部门而言，在“管办分离”之外，也需加强青训系统构建，营建更多的足球基础服务设施，发展更多足球人口，这些或许才是根本之策。
63,63,　　新华社北京1月13日电(记者汪涌、杨帆、孙丁)北京国安足球俱乐部13日发布公告，宣布张呈栋和郎征两名球员正式转会河北华夏幸福足球俱乐部。针对张呈栋以高达1.5亿元的转会费成为中超本土球员新“标王”的传闻，国安俱乐部并未回应，而据华夏俱乐部知情人士表示传闻不实，这笔费用实际在8000万元左右。
64,64,"　　,中新网,三亚1月2日电 (黄艺)2017年元旦，昆仑决2016年年度总决赛在中国海南三亚红树林度假世界成功举行。在最为瞩目的昆仑决2016诸神之战总决赛中，苏波邦先后力克曼和夫、江通猜加冕2016昆仑决诸神之王。压轴大战中“泰拳王”播求成功击败第十四位挑战他的中国选手田鑫。"
65,65,　　昆仑决是目前世界上最顶级的中国原创品牌格斗赛事。本次比赛作为昆仑决2016年全年的收官之战，集结了来自中国、俄罗斯、泰国、巴西等18个国家和地区的顶级高手上演格斗盛宴。
66,66,　　在当日的比赛中，苏波邦加冕2016昆仑决诸神之战新一代王者。昆仑决诸神之战是世界含金量最高，最大规模70公斤淘汰赛，历时一年，汇集了64位世界级顶尖拳手。为决出新一代的诸神之王，当日，诸神四强“金童”江通猜、“胡子杀手”奇利亚、“播求大弟子”苏波邦、“苏里南勇士”曼和夫经历了残酷的四人赛。最后江通猜、苏波邦进入诸神总决赛，上演一场“泰国内战”。第三回合2分30秒，苏波邦拳法KO江通猜夺得诸神总冠军。
67,67,　　另一场亮点对决在“泰拳王”播求和中国选手田鑫之间展开，田鑫是第14位挑战播求的中国选手，但并未撼动播求的王者地位。整场比赛播求优势巨大，最终播求击败田鑫。
68,68,　　赛事吸引了三亚众多市民、游客观看，不少人扶老携幼前来观赛，感受搏击赛事的激情魅力。(完)
69,69,"　　,中新网,北京1月7日电(记者 王牧青) 根据国家事业单位登记管理局管辖事业单位申办事项办结通知，2017年1月5日，国家体育总局足球运动管理中心已经正式注销。这标志着中国足协与国家体育总局彻底脱钩，成为了独立社团法人。"
70,70,"　　,“足管中心”16年2月已撤销 “注销”标志足协脱钩尘埃落定"
71,71,　　中国足球运动管理中心正式成立于1995年1月3日，作为国家体育总局直属事业单位，足管中心与中国足协的“并行模式”存在了多年，这也是中国足协被外界诟病“一套班子、两块牌子”的直接原因。
72,72,　　2015年3月，《中国足球改革发展总体方案》出台，直接指出足协与体育总局应完成脱钩，中国足协不设置行政级别。
73,73,　　《方案》内文指出：按照政社分开、权责明确、依法自治的原则调整组建中国足球协会，改变中国足球协会与体育总局足球运动管理中心两块牌子、一套人马的组织构架。
74,74,　　15年底，中国足协已搭建起脱钩后“新足协”的基本框架。2016年2月末，新华社报道称，国家体育总局“足球运动管理中心”已撤销，中国足协与国家体育总局的脱钩基本完成。彼时，曾挂在足协办公地的“国家体育总局足球运动管理中心”牌匾也被悄然摘下，只留下“中国足球协会”一块牌子。
75,75,　　随着此次“足管中心”被正式注销，这个名字正式成为历史。同时，它也标志了中国足协与总局的脱钩工作尘埃落定。
76,76,"　　,名字注销意义几何 业内人：形式意义需转化为现实意义"
77,77,　　跟踪报道中国足球多年的人民日报资深足球记者陈晨曦认为，单就“足管中心被注销”这件事而言，其实是形式重于内容的：“去年2月份，足协与总局就已完成了脱钩。不到一年来，足协正在发生变化，向社团化的方向努力，但在几个关键点上仍存在滞后，比如职业联盟的成立、地方足协的脱钩，都有不及时、不到位的情况，这也是当前改革深化的难点所在。”
78,78,　　“足管中心被注销”，只是最近以来总局关注足球方面工作的一部分。上周，国家体育总局发布了《国家体育总局新闻发言人就足球相关问题答记者问》，内容包括“用好规则和政策杠杆鼓励长期培养本土球员”、“调节、抑制高价引援，合理限制球员过高收入”、“完善俱乐部青训体系和梯队建设”等中国足球发展过程中长期存在、但尚未解决的难点问题。
79,79,　　一位中超俱乐部经理对记者表示，足协的脱钩早已不是新闻，对中超俱乐部来说，更多是期待中国足球继续推进职业化，中超联赛向更好的方向发展。
80,80,　　站在俱乐部的角度，总局的《答记者问》确实意义不小。同时，以上关乎中超联赛未来发展方向的议题，也是即将成立的“职业联盟”需要面对的问题。
81,81,　　记者了解到，2016赛季中超联赛中期，足协与各俱乐部就成立“中国职业足球联盟”一事开展过专项讨论会，52家中超、中甲和中乙俱乐部悉数参加。
82,82,　　联赛结束后，足协与各方代表就成立职业联盟的细节多次开会讨论。时至今日，人们期待的职业联盟仍未亮相。有知情人士透露，职业联盟最快将在本月内完成定稿等一系列准备工作。
83,83,　　陈晨曦认为，从当下的情况看，能不能让足协进行有条不紊的改革存在疑问，总局层面最近释放了一些信号，其关于足球改革的力度明显超出了足协的计划和预期。
84,84,　　记者翻阅了网络上关于“足管中心注销”的评论，更多人表达了对未来足球改革方向的预测和期待，尤其是足协与总局脱钩之后，在国家队和联赛层面会带来何种变化。
85,85,　　“所以说，这个名字的消失更多是象征的意义，它能否变成现实意义，未来需要更多层面进行改变，这也是所有关注中国足球的人拭目以待的。”陈晨曦总结道。(完)
86,86,　　新华社北京1月12日电 题：姚明“接近”中国篮协主席吹响体育人才改革号角
87,87,　　新华社记者王镜宇
88,88,　　1月9日，36岁的姚明和中国篮协副主席李金生共同担任“第九届中国篮球协会代表大会暨换届会议”筹备组组长。在苟仲文接替刘鹏出任国家体育总局局长之后短短几个月来，李玲蔚、姚明这两位具有国际影响的退役体育明星有了新角色，这样的变化释放出中国体育深化改革的积极信号。
89,89,　　与李玲蔚去年年底担任中国奥委会副主席一样，“体制外人才”姚明出任“第九届中国篮球协会代表大会暨换届会议”筹备组组长也是意料之外、情理之中的事情，打破藩篱、不拘一格降人才正成为体育行业人才选拔的新趋势。
90,90,　　综合国力竞争说到底是人才竞争。要加大改革落实工作力度，把《关于深化人才发展体制机制改革的意见》落到实处，加快构建具有全球竞争力的人才制度体系，聚天下英才而用之。要着力破除体制机制障碍，向用人主体放权，为人才松绑，让人才创新创造活力充分迸发，使各方面人才各得其所、尽展其长。
91,91,　　李玲蔚和姚明出任新角色，与深化人才发展体制机制改革的方向十分符合。
92,92,　　体育管理机制和体育社团的改革正处于关键阶段，人才是改革的核心驱动力，而姚明恰恰是体育领域不可多得的复合型人才。作为一名退役的优秀篮球运动员，姚明不仅拥有超强的国际知名度和影响力，而且具有担任全国政协委员、上海男篮俱乐部董事长等职务的丰富经历，在体育产业、公益慈善、体育外交等领域也有宝贵经验，对于NBA职业联赛和国际篮球的发展也颇为熟悉。如果他能够担任中国篮球协会的领导职务，在中国篮球和CBA联赛改革中可以发挥不可替代的作用。
93,93,　　值得一提的是，早在2013年的两会上，姚明就曾以全国政协委员的身份递交有关“呼吁改革管理体制、开放人才选拔、促进中国篮球可持续发展”的提案。在那份提案中，他建议定期召开中国篮球代表大会，大会代表由来自专业篮球、高校篮球、社会篮球的各界人士组成，中国篮协领导机构由代表大会选举产生。从某种意义上说，“筹备组组长”的任命可以说是时隔4年之后国家体育总局对姚明这份提案作出的积极回应。
94,94,　　姚明出任筹备组组长乃至将来可能担任中国篮协主席，并不是简单的退役运动员“当官”，它体现的是“让专业的人做专业的事”的人才使用思路，也符合国际惯例和国际潮流。在国际体育组织中，像巴赫、罗格、塞巴斯蒂安·科这样由优秀退役运动员担任管理者的情形比比皆是，而近些年中国的一些知名退役运动员由于体制内、外之间“隐形高墙”的存在难以充分发挥作用。姚明在新一届的中国篮协中发挥作用，很可能带来积极的示范效应，让像他和杨扬这样有思想、有见地、有影响力的退役体育明星在中国和国际体育组织中更好地施展才能、有所作为。
95,95,　　姚明出任筹备组组长，为他自己和其他“体制外”人士加入中国篮协工作奠定了基础。但他最终是否能担任中国篮协的领导职务，还取决于中国篮球界人士能否达成共识。无论最终结果如何，中国篮球改革已经迈出了历史性的重要步伐。
96,96,　　对姚明本人而言，从担任筹备组组长的那一刻起，也需要重新思考和定位自己未来的角色。中国篮协领导的身份与姚明现在担任的上海男篮俱乐部董事长、CBA公司副董事长等职务或多或少存在利益上的关联。为了在中国篮球乃至中国体育的发展中发挥更为重要的作用，他需要在不同的身份中作出抉择和取舍。
97,97,　　中国篮球和CBA联赛的改革任重道远。姚明加入中国篮协领导层的前景令人期待，但这并不意味着改革的进程会一帆风顺。对中国篮球而言，这是“李元伟新政”之后又一次重大的改革契机。对姚明本人而言，这是他体育生涯中继当年加入NBA之后又一次美妙而重要的挑战。
98,98,"　　,中新网,福州1月17日电 (记者 龙敏)在福建骏豪足球俱乐部、福建超越足球俱乐部出走后，福建天信职业足球俱乐部16日下午揭牌成立，成为福州首家职业足球俱乐部。"
99,99,　　福建省体育总会会长徐正国表示，福建天信职业足球俱乐部正式揭牌，成为福州本土第一家职业足球俱乐部，不仅意味着福州足球的职业化，同时也为福建足球发展注入强劲动力。
100,100,　　福建天信足球俱乐部创始人沈文策表示，福州发展职业足球正逢其时，福建天信职业足球俱乐部将根植福州、加大投入、立足青训，适当时候将引进海内外优秀球员，打出成绩，力争在今年冲击中国足球乙级联赛。
101,101,　　福州市体育总会秘书长王晖说，福建天信职业足球俱乐部将给福州再添文化名片，将推动福州市建立青训体系，为福州足球培养后备人才，传播健康积极的足球文化。
102,102,　　曾先后担任过福建骏豪、福建超越等足球队教练的赵图强出任福建建天信职业足球俱乐部主教练。他表示，福建天信职业足球俱乐部将提高福建足球运动水平，助力福建体育事业发展。
103,103,　　当天，著名足球运动员李毅，足球名嘴苏东，天信俱乐部原队员、现中甲球员黄世博，知名足球评论人颜强也特意送来祝福。(完)
104,104,　　英媒称中国足球俱乐部烧钱严重：当局将限制高价引援
105,105,　　责任编辑：郭庆娜
106,106,　　核心提示：国家体育总局通过自己的网站发布新闻稿，指责一些足球俱乐部“烧钱现象严重，外籍球员收入过高，不重视青训，只注重短期成绩，忽视长远发展”，等等。
107,107,　　参考消息网1月6日报道 英媒称，中国最高体育管理机构国家体育总局1月5日宣布，将采取措施限制足球俱乐部高价引进球员，限制球员过高收入。
108,108,　　BBC中文网1月6日报道，国家体育总局通过自己的网站发布新闻稿，指责一些足球俱乐部“烧钱现象严重，外籍球员收入过高，不重视青训，只注重短期成绩，忽视长远发展”，等等。
109,109,　　此前，中超俱乐部高价高调购买外籍球员，引起各方关注。
110,110,　　其中包括，上海上港以6000万欧元从英超切尔西购买巴西籍中场球员奥斯卡，以及上海申花巨资购买阿根廷籍前锋特维斯。
111,111,　　据报道，特维斯的转会费只有1050万欧元，但是他签下一个为期两年的每赛季薪金3800万欧元的合同，成为世界上收入最高的球员。
112,112,　　奥斯卡将从上海上港得到每赛季2400万欧元的薪水，虽然低于特维斯，但仍然超过了足球巨星皇马的C罗和巴塞罗那的梅西。
113,113,　　有消息说，中超球队的巨大投资举动也使得欧洲球队的管理人员感到担忧。
114,114,　　英超阿森纳主教练温格和切尔西主教练孔蒂都曾表示，中国的大笔金钱可能从英超球队引诱走优秀的球员。
115,115,　　与此同时，中国的这种大笔花费也在国内引起批评意见，担心这会带来恶性竞争，而且不利于本土球员的培养。
116,116,　　中国国家体育总局一位没有透露姓名的发言人表示，中国将调节、抑制高价引援，合理限制球员过高收入。
117,117,　　这位发言人还说，中国体育管理当局还将借鉴一些国家的成功做法，增加本土年轻球员的上场机会，例如规定每场比赛必须有1-2名21(或22、23)岁以下的球员进入名单或首发上场。
118,118,　　这位发言人强调，要加强对俱乐部的财务审查和监管，对严重资不抵债的俱乐部，坚决清除出职业联赛。
119,119,　　“让专业的人干专业的事”，篮球改革能否激发中国体育的潜在动能，人们充满期待
